#query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
POBCID_10085,176280.SE_0142,1.87E-178,498,"2BZG7@1|root,33UD8@2|Bacteria,1VUQY@1239|Firmicutes,4HVK1@91061|Bacilli,4GYEE@90964|Staphylococcaceae",91061|Bacilli,M,Belongs to the staphylococcal tandem lipoprotein family,-,-,-,-,-,-,-,-,-,-,-,-,DUF576
POBCID_10125,176280.SE_0152,1.10E-26,100,"29IBJ@1|root,3058R@2|Bacteria,1TXW7@1239|Firmicutes,4I6YV@91061|Bacilli,4GZIU@90964|Staphylococcaceae",91061|Bacilli,S,Protein of unknown function (DUF1433),-,-,-,-,-,-,-,-,-,-,-,-,DUF1433
POBCID_10150,176279.SERP2501,3.44E-72,217,"29I9Y@1|root,30571@2|Bacteria,1TXTQ@1239|Firmicutes,4I6W0@91061|Bacilli,4GZ77@90964|Staphylococcaceae",91061|Bacilli,S,Pfam:DUF950,-,-,-,-,-,-,-,-,-,-,-,-,SAUGI
POBCID_10160,435838.HMPREF0786_01640,7.97E-65,197,"COG0827@1|root,COG0827@2|Bacteria,1VKXJ@1239|Firmicutes,4I0AM@91061|Bacilli,4GZHD@90964|Staphylococcaceae",91061|Bacilli,L,Staphylococcal protein of unknown function (DUF960),-,-,-,-,-,-,-,-,-,-,-,-,DUF960
POBCID_10165,435838.HMPREF0786_01641,2.17E-113,325,"COG4333@1|root,COG4333@2|Bacteria,1VI5E@1239|Firmicutes,4HQ54@91061|Bacilli,4GXWT@90964|Staphylococcaceae",91061|Bacilli,V,Protein of unknown function (DUF1643),-,-,-,-,-,-,-,-,-,-,-,-,DUF1643
POBCID_10170,176279.SERP2468,1.15E-37,127,"29J4Y@1|root,3062C@2|Bacteria,1TZ2S@1239|Firmicutes,4I89S@91061|Bacilli,4GZUR@90964|Staphylococcaceae",91061|Bacilli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
POBCID_10185,525378.HMPREF0793_0814,1.54E-126,378,"COG0732@1|root,COG0732@2|Bacteria,1TT28@1239|Firmicutes,4HK4M@91061|Bacilli,4GYUX@90964|Staphylococcaceae",91061|Bacilli,V,Type I restriction modification DNA specificity domain protein,-,-,3.1.21.3,ko:K01154,-,-,-,-,"ko00000,ko01000,ko02048",-,-,-,Methylase_S
POBCID_10195,176279.SERP2473,1.69E-124,357,"COG0732@1|root,COG0732@2|Bacteria,1VJAT@1239|Firmicutes,4IRBP@91061|Bacilli,4H1PP@90964|Staphylococcaceae",91061|Bacilli,V,Type I restriction modification DNA specificity domain,-,-,-,-,-,-,-,-,-,-,-,-,Methylase_S
POBCID_10205,698758.AXY_05080,3.86E-105,315,"COG0322@1|root,COG0322@2|Bacteria,1U37U@1239|Firmicutes,4HHVX@91061|Bacilli",91061|Bacilli,L,Domain of unknown function (DUF4357),-,-,-,-,-,-,-,-,-,-,-,-,DUF4357
POBCID_10210,1462527.CCDM010000001_gene1891,5.28E-34,131,"COG3183@1|root,COG3183@2|Bacteria,1V62S@1239|Firmicutes,4HNDH@91061|Bacilli",91061|Bacilli,V,HNH endonuclease,-,-,-,"ko:K07451,ko:K07453",-,-,-,-,"ko00000,ko01000,ko02048",-,-,-,"EVE,HNH"
POBCID_10215,1211817.CCAT010000044_gene3356,3.88E-212,609,"COG0210@1|root,COG0210@2|Bacteria,1V7EN@1239|Firmicutes,24DPV@186801|Clostridia,36HZN@31979|Clostridiaceae",186801|Clostridia,L,UvrD/REP helicase N-terminal domain,-,-,3.6.4.12,ko:K03657,"ko03420,ko03430,map03420,map03430",-,-,-,"ko00000,ko00001,ko01000,ko03400",-,-,-,"UvrD-helicase,UvrD_C"
POBCID_10220,1211817.CCAT010000044_gene3355,1.55E-209,603,"COG1195@1|root,COG3593@1|root,COG1195@2|Bacteria,COG3593@2|Bacteria,1V7Y2@1239|Firmicutes,25DHV@186801|Clostridia,36UBG@31979|Clostridiaceae",186801|Clostridia,L,Protein of unknown function (DUF2813),-,-,-,-,-,-,-,-,-,-,-,-,AAA_15
POBCID_10225,1211817.CCAT010000044_gene3355,7.36E-55,190,"COG1195@1|root,COG3593@1|root,COG1195@2|Bacteria,COG3593@2|Bacteria,1V7Y2@1239|Firmicutes,25DHV@186801|Clostridia,36UBG@31979|Clostridiaceae",186801|Clostridia,L,Protein of unknown function (DUF2813),-,-,-,-,-,-,-,-,-,-,-,-,AAA_15
POBCID_10230,1286171.EAL2_c10780,1.90E-102,319,"28JM7@1|root,2Z9DS@2|Bacteria,1TQQE@1239|Firmicutes,253HP@186801|Clostridia",186801|Clostridia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
POBCID_10305,435838.HMPREF0786_01624,0,973,"COG4932@1|root,COG4932@2|Bacteria,1TQBI@1239|Firmicutes,4HBAT@91061|Bacilli,4GYDE@90964|Staphylococcaceae",91061|Bacilli,M,C-terminus of bacterial fibrinogen-binding adhesin,-,-,-,ko:K14194,"ko05150,map05150",-,-,-,"ko00000,ko00001",-,-,-,"Collagen_bind,Gram_pos_anchor,SdrD_B,SdrG_C_C,YSIRK_signal"
POBCID_10450,525378.HMPREF0793_0138,1.24E-121,355,"COG5527@1|root,COG5527@2|Bacteria,1V8VU@1239|Firmicutes,4HWIQ@91061|Bacilli,4GYHP@90964|Staphylococcaceae",91061|Bacilli,L,Initiator Replication protein,-,-,-,-,-,-,-,-,-,-,-,-,Rep_3
POBCID_10455,1159488.SEQMU2_14895,5.03E-58,185,"2DUA9@1|root,33PMB@2|Bacteria,1TXZ6@1239|Firmicutes,4I725@91061|Bacilli,4GZUH@90964|Staphylococcaceae",91061|Bacilli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
POBCID_10495,1095747.HMPREF1049_0630,6.82E-165,490,"COG3344@1|root,COG3344@2|Bacteria,37CKA@32066|Fusobacteria",32066|Fusobacteria,L,Reverse transcriptase (RNA-dependent DNA polymerase),-,-,-,-,-,-,-,-,-,-,-,-,RVT_1
POBCID_10510,435838.HMPREF0786_01872,9.22E-25,95.9,"COG1813@1|root,COG1813@2|Bacteria,1VEXE@1239|Firmicutes,4HSMQ@91061|Bacilli",91061|Bacilli,K,Helix-turn-helix domain,-,-,-,-,-,-,-,-,-,-,-,-,HTH_3
POBCID_10515,698737.SLGD_01992,1.64E-74,223,"COG0640@1|root,COG0640@2|Bacteria,1VBPB@1239|Firmicutes,4HMSR@91061|Bacilli,4GZ91@90964|Staphylococcaceae",91061|Bacilli,K,"helix_turn_helix, Arsenical Resistance Operon Repressor",cadX,-,-,ko:K21903,-,-,-,-,"ko00000,ko03000",-,-,-,HTH_5
POBCID_10520,904314.SEVCU012_1726,2.79E-130,371,"COG4300@1|root,COG4300@2|Bacteria,1V1RM@1239|Firmicutes,4HGMR@91061|Bacilli,4GYB3@90964|Staphylococcaceae",91061|Bacilli,P,Cadmium resistance transporter,cadD,-,-,-,-,-,-,-,-,-,-,-,Cad
POBCID_10540,1159488.SEQMU2_14560,9.65E-55,182,"29I84@1|root,30556@2|Bacteria,1TXQN@1239|Firmicutes,4I6S0@91061|Bacilli,4GYJC@90964|Staphylococcaceae",91061|Bacilli,S,"Protein of unknown function, DUF536",-,-,-,-,-,-,-,-,-,-,-,-,DUF536
POBCID_10545,1229783.C273_11076,8.15E-116,333,"29HCP@1|root,304A6@2|Bacteria,1TWDD@1239|Firmicutes,4I552@91061|Bacilli,4H0K5@90964|Staphylococcaceae",91061|Bacilli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
POBCID_10550,1229783.C273_11071,0,940,"COG0477@1|root,COG0477@2|Bacteria,1TPHW@1239|Firmicutes,4HDHP@91061|Bacilli,4GYY3@90964|Staphylococcaceae",91061|Bacilli,EGP,Major Facilitator Superfamily,-,-,-,ko:K08166,-,-,-,-,"ko00000,ko02000",2.A.1.3.10,-,-,MFS_1
POBCID_10555,1229783.C273_11066,2.78E-132,375,"COG1309@1|root,COG1309@2|Bacteria,1V9T3@1239|Firmicutes,4HIRX@91061|Bacilli,4H0EB@90964|Staphylococcaceae",91061|Bacilli,K,"QacR-like protein, C-terminal region",-,-,-,-,-,-,-,-,-,-,-,-,"TetR_C_5,TetR_N"
POBCID_10560,1229783.C273_11061,7.21E-136,385,"COG1961@1|root,COG1961@2|Bacteria,1TQAX@1239|Firmicutes,4HCFF@91061|Bacilli,4H1NQ@90964|Staphylococcaceae",91061|Bacilli,L,"COG1961 Site-specific recombinases, DNA invertase Pin homologs",res,-,-,-,-,-,-,-,-,-,-,-,"HTH_7,Resolvase"
POBCID_10565,279808.SH2306,4.64E-228,626,"COG3173@1|root,COG3173@2|Bacteria,1TPYB@1239|Firmicutes,4HBYQ@91061|Bacilli,4GXAS@90964|Staphylococcaceae",91061|Bacilli,S,Phosphotransferase enzyme family,ycbJ,-,-,ko:K06979,-,M00760,-,-,"br01600,ko00000,ko00002,ko01504",-,-,-,APH
POBCID_10570,279808.SH2305,0,879,"COG0488@1|root,COG0488@2|Bacteria,1TQNA@1239|Firmicutes,4H9VW@91061|Bacilli,4GY8U@90964|Staphylococcaceae",91061|Bacilli,S,ABC transporter,yheS_2,-,-,ko:K18231,"ko02010,map02010",-,-,-,"br01600,ko00000,ko00001,ko01504,ko02000","3.A.1.121.1,3.A.1.121.3",-,-,"ABC_tran,ABC_tran_Xtn"
POBCID_11070,176279.SERP2092,8.09E-26,95.5,"COG3666@1|root,COG3666@2|Bacteria",2|Bacteria,-,-,-,-,-,ko:K07487,-,-,-,-,ko00000,-,-,-,"DDE_Tnp_1,DDE_Tnp_1_6,DUF772"
POBCID_11655,176280.SE_0809,1.04E-21,87.4,"COG3666@1|root,COG3666@2|Bacteria,1TQQ9@1239|Firmicutes,4H9KK@91061|Bacilli,4GY76@90964|Staphylococcaceae",91061|Bacilli,L,COG3666 Transposase and inactivated derivatives,-,-,-,ko:K07487,-,-,-,-,ko00000,-,-,-,"DDE_Tnp_1,DDE_Tnp_1_6,DUF772"
HANIFL_00005,176279.SERP1273,6.01E-113,324,"COG0589@1|root,COG0589@2|Bacteria,1V3NY@1239|Firmicutes,4HIP3@91061|Bacilli,4GX9C@90964|Staphylococcaceae",91061|Bacilli,T,Universal stress protein,uspA,-,-,-,-,-,-,-,-,-,-,-,Usp
HANIFL_00010,176279.SERP1272,8.49E-265,725,"COG0686@1|root,COG0686@2|Bacteria,1TNZ5@1239|Firmicutes,4HABX@91061|Bacilli,4GX0M@90964|Staphylococcaceae",91061|Bacilli,E,Belongs to the AlaDH PNT family,ald,"GO:0000286,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006522,GO:0006524,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009063,GO:0009078,GO:0009080,GO:0009987,GO:0016054,GO:0016491,GO:0016638,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0046395,GO:0055114,GO:0071704,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606",1.4.1.1,ko:K00259,"ko00250,ko00430,ko01100,map00250,map00430,map01100",-,R00396,RC00008,"ko00000,ko00001,ko01000",-,-,-,"AlaDh_PNT_C,AlaDh_PNT_N"
HANIFL_00015,176279.SERP1271,3.16E-259,709,"COG0006@1|root,COG0006@2|Bacteria,1TQ6R@1239|Firmicutes,4HA5I@91061|Bacilli,4GY4S@90964|Staphylococcaceae",91061|Bacilli,E,Belongs to the peptidase M24B family,pepQ,-,3.4.13.9,ko:K01271,-,-,-,-,"ko00000,ko01000,ko01002",-,-,-,"Creatinase_N,Peptidase_M24"
HANIFL_00020,176279.SERP1270,1.99E-169,472,"COG2220@1|root,COG2220@2|Bacteria,1TQR1@1239|Firmicutes,4HBM0@91061|Bacilli,4GXB8@90964|Staphylococcaceae",91061|Bacilli,S,Belongs to the UPF0173 family,ytkL,-,-,-,-,-,-,-,-,-,-,-,"Lactamase_B_2,Lactamase_B_3"
HANIFL_00025,176279.SERP1269,9.49E-89,261,"COG0589@1|root,COG0589@2|Bacteria,1V6RY@1239|Firmicutes,4HIZM@91061|Bacilli,4GZ5K@90964|Staphylococcaceae",91061|Bacilli,T,Belongs to the universal stress protein A family,nhaX,-,-,-,-,-,-,-,-,-,-,-,Usp
HANIFL_00030,176279.SERP1268,2.45E-304,830,"COG4109@1|root,COG4109@2|Bacteria,1TPU6@1239|Firmicutes,4HB62@91061|Bacilli,4GXFZ@90964|Staphylococcaceae",91061|Bacilli,K,DRTGG domain,ytoI,-,-,-,-,-,-,-,-,-,-,-,"4HBT,CBS,DRTGG,GntR,HTH_24"
HANIFL_00035,176280.SE_1379,4.85E-232,637,"COG0618@1|root,COG0618@2|Bacteria,1TPXX@1239|Firmicutes,4H9ZW@91061|Bacilli,4GXF3@90964|Staphylococcaceae",91061|Bacilli,S,DHHA1 domain,nrnA,-,"3.1.13.3,3.1.3.7",ko:K06881,"ko00920,ko01100,ko01120,map00920,map01100,map01120",-,"R00188,R00508",RC00078,"ko00000,ko00001,ko01000,ko03400",-,-,-,"DHH,DHHA1"
HANIFL_00040,176280.SE_1378,0,2115,"COG0587@1|root,COG0587@2|Bacteria,1TPYG@1239|Firmicutes,4H9T3@91061|Bacilli,4GXUN@90964|Staphylococcaceae",91061|Bacilli,L,DNA polymerase,dnaE,-,2.7.7.7,ko:K02337,"ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440",M00260,"R00375,R00376,R00377,R00378",RC02795,"ko00000,ko00001,ko00002,ko01000,ko03032,ko03400",-,-,-,"DNA_pol3_alpha,HHH_6,PHP,tRNA_anti-codon"
HANIFL_00045,176280.SE_1377,6.59E-295,805,"COG0281@1|root,COG0281@2|Bacteria,1TPJ3@1239|Firmicutes,4H9WR@91061|Bacilli,4GXBB@90964|Staphylococcaceae",91061|Bacilli,C,Malic enzyme,ytsJ,-,1.1.1.38,ko:K00027,"ko00620,ko01200,ko02020,map00620,map01200,map02020",-,R00214,RC00105,"ko00000,ko00001,ko01000",-,-,-,"Malic_M,malic"
