1AA1C_Z07_32_15YB_C832,1AA1N_Z07_74_15YB_G274,1AA3C_23YAS86,1AA3C_23YAS89,1AA3C_23YAS90,1AA3C_23YAS93,1AA3C_23YAS94,1AA4F_Z02_40_15YD_B440,1AA4F_Z03_94_16YA_A1094,1AA4K_Z02_81_15YD_E981,1AA4K_Z02_85_15YD_F185,1AA4K_Z02_88_15YD_F488,1AA4K_Z02_89_15YD_F589,1AA4N_Z02_71_15YD_D1171,1PA1K_28JA11,1PA1K_28JA17,1PA1K_28JA8,1PA1N_28JA36,1PA1N_28JB33,1PA1N_28JB60,1PA1N_28JB9,1PA2C_11JES51,1PA2C_11JES65,1PA2N_11JES24,1PA2N_11JES89,1PA4C_22YD91,1PA4F_22YD31,1PA4F_22YD37,1PA4F_22YD41,1PA4N_22YD54,1PB2F_Z08_47_24JA_D1147,1PB2F_Z08_49_24JA_E149,1PB2N_24JB27,1PB2N_Z08_44_24JA_D844,1PB3C_23YAC20,1PB3C_8YDS67,1PB3C_8YDS76,1PB3C_8YDS80,1PB3C_8YDS88,1PB3C_8YDS92,1PB3C_8YDS93,1PB3F_Z02_11_15YC_A1111,1PB3F_Z02_13_15YC_B113,1PB3F_Z02_3_15YC_A33,1PB3N_8YDS52,2AA1C_28JA46,2AA1C_28JA47,2AA1C_28JA61,2AA1C_28JA67,2AA3C_23YBC2,2AA3C_9YD74,2AA3C_9YD76,2AA3F_23YBC48,2AA3K_23YBC15,2AA3K_9YD62,2AA3N_8YCS7,2PA1C_11JCS80,2PA1C_11JCS83,2PA3C_15YE37,2PA3C_15YE41,2PA3C_15YE51,2PA3C_15YE61,2PA3C_15YE81,2PA3C_15YE82,2PA3N_15YE35,2PA3N_Z05_63_16YB_H763,2PB1C_Z08_6_24JA_A66,2PB1F_Z08_17_24JA_B517,2PB1K_Z08_8_24JA_A88,2PB1N_24JB79,2PB1N_24JB86,2PB1N_24JB88,2PB1N_24JB91,3AB2K_11JDS35,4AA1F_X1337,4AA1F_X1346,4AA1F_X1348,4AA1F_X1349,4AA1F_X1479,4AA1N_X1625,4AA1N_X1628,4AB1K_X1657,4AB1N_X1385,4AB1N_X1413,5AA3C_Z01_65_9YE_A565,5AA3C_Z01_75_9YE_B375,5AB3F_Z08_28_24JA_C428,5PA1C_11JBS66,5PA1C_11JBS88,5PA1C_11JBS92,5PA1C_11JBS94,5PA1C_11JBS95,5PA1F_11JBS16,5PA1F_11JBS18,5PA1F_11JBS3,5PA1N_11JBS56,5PA1N_11JBS61,5PB3C_22YC81,5PB3C_22YC83,5PB3C_22YC85,5PB3C_22YC90,5PB3F_22YC16,5PB3K_24YB54,5PB3K_24YB64,5PB3N_22YC31,7AA1C_28JC11,7AA1C_28JC2,7AA1C_28JC6,7AA1C_X1493,7AA1F_28JC33,7AA1F_28JC36,7AA1N_28JC39,7AA4C_23YAC39,7AA4C_9YB71,7AA4C_9YB82,7AA4C_Z07_48_8YBS_F1248,7AA4F_Z04_59_8YBS_A259,7AA4N_Z04_67_8YBS_C767,7AB4C_22YB68,7AB4N_22YB3,7AB4N_22YB4,7PA1C_28JC68,7PA1C_28JC84,7PA1F_28JC58,7PA1F_28JC59,7PA1K_28JC60,7PA1K_28JC61,7PA1K_28JC65,7PB4C_Z08_86_15YA_H286,8AA4C_22YB37,8AA4F_24YC6,8AA4K_22YB76,8AA4K_24YC42,8AA4K_Z06_17_16YD_C517,8AB1C_25YH90,8AB1F_25YH17,8AB1F_25YH4,8AB1K_25YH62,8AB1K_25YH71,8AB3K_24YA57,8AB4C_23YAS12,8AB4C_23YAS16,8AB4C_23YAS51,8AB4C_25YA77,8AB4F_25YA19,8AB4N_23YAS25,8AC1C_25YC8,8AC1N_25YC3,8AC4C_8YAS89,8AC4K_9YC54,8AC4K_Z03_15_23YCC_D315,8AC4N_23YBC88,8PA3K_25YE63,8PB1C_25YC36,8PB1C_25YC52,8PB1C_25YC53,8PB1K_25YC40,8PB3F_23YCS6,8PB4N_25YD28
98.201614,99.300835,96.831619,99.415985,96.800827,98.164444,99.983795,99.305557,99.960724,99.420227,99.31749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.870193,97.93232,96.598511,98.054474,96.629181,99.841797,98.083817,97.950623,97.983459,97.976517,97.964005,98.15416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.072479,99.402359,96.734421,99.954208,96.750618,98.07515,99.392128,99.386505,99.347229,99.449341,99.442398,99.413437,98.117874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.417999,79.649696,79.920303,79.55864,79.900665,79.44754,79.398392,79.702744,79.350983,79.489166,79.719055,79.288391,79.352219,79.473114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.103928,97.524841,98.542343,97.699234,98.539978,97.142899,97.63092,97.582527,97.589615,97.551323,97.549347,97.649918,97.076759,97.63295,79.629333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.422508,79.708275,79.898705,79.675842,79.920364,79.523682,79.409897,79.69017,79.347473,79.527512,79.670662,79.296951,79.298569,79.543777,99.990128,79.708672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.067429,99.960266,96.726624,99.465897,96.708328,98.001831,99.186806,99.634888,99.115189,99.260818,99.633865,99.220398,97.8974,99.477539,79.666954,97.610458,79.726768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.897064,97.963249,96.634338,98.017876,96.688759,99.884003,98.138245,97.966156,97.986748,97.988251,97.998581,98.158463,99.989441,98.106522,79.322441,97.083725,79.360413,97.928253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.070831,99.134628,96.779282,99.394608,96.818573,98.028763,99.287949,99.205864,99.253487,99.304718,99.226242,99.390526,97.958923,99.360817,79.700279,97.84787,79.724594,99.158264,98.040115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.975357,98.086319,96.637947,98.011391,96.646759,99.950401,98.146393,97.930573,97.979622,97.98114,97.936172,98.144417,99.896576,98.012062,79.462112,97.110184,79.526413,98.042725,99.92424,97.983597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.82769,80.264847,80.276939,80.223541,80.180115,80.012184,80.068298,80.011017,80.031403,80.019928,80.231918,80.004547,80.001526,80.067078,79.806557,79.922562,79.983551,80.184525,80.047775,80.239159,80.267174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.042068,99.776794,96.756111,99.504974,96.807434,98.061958,99.319221,99.725357,99.202362,99.317169,99.682877,99.314735,98.017906,99.524467,79.790314,97.644211,79.833382,99.643433,98.024803,99.259903,97.990646,80.101624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.068947,99.726974,96.807838,99.50544,96.780746,98.0867,99.32605,99.737045,99.222229,99.330597,99.719955,99.346443,98.02948,99.558617,79.864578,97.614235,79.853638,99.647125,97.989922,99.261108,98.019257,80.239899,99.989731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.073456,99.753204,96.717636,99.486198,96.73764,98.131012,99.298508,99.711563,99.195572,99.320511,99.683548,99.298172,97.981171,99.542282,79.729256,97.589394,79.769699,99.648956,98.0037,99.253174,98.033478,80.187012,99.989769,99.990524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.026917,99.365921,96.8452,99.331223,96.812263,98.06134,99.300781,99.292328,99.276718,99.475067,99.382568,99.373352,97.909889,99.336136,79.734291,97.698341,79.804123,99.317886,97.98877,99.725136,98.014206,80.376007,99.475266,99.477249,99.460754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96.727707,96.796356,99.966476,96.795349,99.982834,96.716934,96.825912,96.808304,96.852005,96.908707,96.785912,96.80275,96.652901,96.795914,79.852325,98.628952,79.854614,96.791733,96.703186,96.863449,96.700912,80.132095,96.825394,96.807236,96.770035,96.87265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.043449,99.730896,96.748581,99.287231,96.757538,98.078552,99.29995,99.709045,99.07515,99.331253,99.699501,99.321884,97.981247,99.458702,79.855377,97.514648,79.890381,99.564774,98.026878,99.142975,98.02066,80.282242,99.986023,99.988708,99.988823,99.448547,96.768295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.031174,99.965355,96.678223,99.409576,96.703804,98.046341,99.207016,99.638939,99.081863,99.26915,99.665955,99.242638,97.925751,99.40184,79.617546,97.485703,79.688255,99.875435,97.944008,99.092628,98.053711,80.3787,99.644699,99.616562,99.629196,99.347572,96.795883,99.628006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.920853,99.616333,96.754715,99.425491,96.771027,97.912201,99.231834,99.864914,99.095581,99.261116,99.853073,99.311714,97.905159,99.456146,79.628403,97.60437,79.690514,99.606789,97.929062,99.17923,97.948105,80.308479,99.719009,99.717331,99.69989,99.331345,96.82003,99.727806,99.593491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.892334,97.928802,96.628662,98.022385,96.655838,99.845901,98.094513,97.984863,97.953522,97.999199,97.972198,98.125183,99.998703,98.117523,79.353813,97.077087,79.291183,97.90976,99.984673,97.976936,99.932068,79.995087,98.030685,98.055229,98.011162,97.911407,96.685303,98.022438,97.893967,97.913467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.09346,97.547348,98.45475,97.679688,98.496155,97.101639,97.622879,97.574081,97.577301,97.668449,97.560379,97.651764,97.188278,97.670425,79.645889,99.956284,79.784477,97.497841,97.18074,97.814285,97.093315,79.91214,97.583054,97.592621,97.638779,97.641418,98.528946,97.636139,97.513466,97.559601,97.141037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.207718,99.35437,96.902802,99.345825,96.913651,98.211227,99.370117,99.333786,99.340149,99.251091,99.318665,99.368958,98.264496,99.375031,79.491379,97.807266,79.434319,99.33609,98.268661,99.223625,98.200745,80.036736,99.422417,99.438828,99.403961,99.179947,96.933304,99.393478,99.307854,99.360855,98.274948,97.872528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.78685,98.021362,96.61467,98.078201,96.621613,99.749771,98.103439,98.018326,97.999969,97.985939,97.994522,98.13327,99.872849,98.128098,79.240356,97.07782,79.266914,98.015427,99.900543,98.029495,99.83374,79.977699,97.997696,98.015259,98.063881,97.978439,96.649094,97.960144,97.998817,97.951813,99.884453,97.161232,98.271194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.060165,99.339859,96.84198,99.424164,96.89669,98.021942,99.344795,99.344757,99.318176,99.342407,99.326752,99.403763,98.170769,99.436829,79.79081,97.614204,79.846802,99.287872,98.150116,99.304123,98.019531,79.957458,99.291977,99.278183,99.294174,99.277283,96.909286,99.282303,99.234848,99.276825,98.159294,97.685745,99.399872,98.182465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.05835,99.255135,96.713409,99.45665,96.668579,98.024132,99.287453,99.419647,99.093613,99.112221,99.320068,99.332458,98.044296,99.546097,79.521942,97.730927,79.642227,99.211502,98.036987,99.208252,97.956322,80.074005,99.407883,99.380386,99.398605,99.120285,96.732483,99.336304,99.153297,99.193207,98.078125,97.801346,99.5065,98.034103,99.339554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.026733,99.256355,96.700089,99.459999,96.68071,97.999649,99.264618,99.386543,99.103722,99.115158,99.36676,99.330887,97.960403,99.486588,79.442696,97.766159,79.572189,99.211494,98.030113,99.186905,97.971657,79.976891,99.36908,99.309937,99.364487,99.126671,96.777527,99.336975,99.176445,99.210159,98.016426,97.785728,99.441154,98.015259,99.310516,99.986053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.064178,99.307121,96.859604,99.405914,96.882095,98.021851,99.369736,99.264191,99.274719,99.274933,99.256363,99.405594,98.129242,99.453003,79.808884,97.644638,79.882202,99.31015,98.094238,99.282867,97.95916,79.888741,99.27034,99.254364,99.214096,99.289642,96.925354,99.162857,99.225578,99.257225,98.109009,97.664848,99.409409,98.166321,99.988052,99.303131,99.265045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.038765,99.317818,96.839127,99.442062,96.866913,98.031937,99.393425,99.321449,99.308853,99.359879,99.312103,99.413574,98.155479,99.431808,79.77771,97.593201,79.81105,99.299484,98.156006,99.33931,97.999969,79.883293,99.294357,99.223801,99.293961,99.291565,96.887703,99.252213,99.246155,99.231415,98.148193,97.697495,99.399353,98.190903,99.990829,99.341492,99.30835,99.992218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.053513,99.333435,96.851799,99.413589,96.896667,98.01474,99.358978,99.331856,99.306763,99.286804,99.310112,99.390228,98.194702,99.421684,79.849014,97.591988,79.867615,99.280136,98.175835,99.291824,97.999146,80.05603,99.264427,99.261551,99.233002,99.280685,96.923203,99.30777,99.264999,99.240768,98.169525,97.708282,99.397644,98.180511,99.989456,99.30426,99.31633,99.977844,99.992508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.103722,99.271988,96.789444,99.359299,96.761703,98.00708,99.198318,99.275131,99.226898,99.979675,99.194313,99.323418,97.962997,99.362228,79.521866,97.576416,79.571274,99.288216,97.982391,99.311615,97.980759,79.875397,99.323807,99.291275,99.330162,99.458359,96.892693,99.335739,99.244431,99.224426,98.009102,97.696205,99.254135,98.043701,99.372017,99.132599,99.145256,99.2939,99.367455,99.328545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
